kod_consumer;name_consumer;kod_grp;kod_seti;kod_rem;kod_otr;kod_podotr
73238200;ннн;382;7;732;41;65
73238201;Рахнянський плодзавод;382;7;732;41;65
73273000;Райавтодор (Михайлівка);730;7;732;45;66
73273001;Райавтодор (Писарівка);730;7;732;45;66
73273002;"ВАТ""Дар""Автодор.Укр Кар""є";730;7;732;45;66
73289900;O.L.KAR Фарм-Сервіс;899;7;732;50;67
73289901;ннн;899;7;732;52;52
73289902;ннн;899;7;732;44;44
73289903;ннн;899;7;732;52;52
73301100;Власне споживання;11;7;733;10;10
73301200;Корисний відпуск;12;7;733;17;17
73301600;Виробничі потреби;16;7;733;16;16
73301700;Втрати в мережах;17;7;733;15;15
73301800;Госп.потреби;18;7;733;16;16
73303100;Теплокомуненерго;31;7;733;50;51
73303200;Освітлення і побут;32;7;733;52;52
73303300;"ДП ""Хмільникводоканал""";33;7;733;50;51
73304000;Сільгоспспоживачі;40;7;733;44;44
73304001;"ТОВ""Хмільникагротехсервіс";40;7;733;44;44
73304002;"АП НВП ""Візит"" (ст.Радон)";40;7;732;44;44
73304003;"АП НВП ""Візит"" (з-д СЗМ)";40;7;733;44;44
73304004;ТзОВ «НІБУЛОН» с. Ш.Гребл;40;7;733;44;44
73304005;ТзОВ «НІБУЛОН» с. Березна;40;7;733;44;44
73304006;"ФГ ""ВЕЛЕС АРС""";40;7;733;44;44
73313500;"ВАТ ""Хмільниксільмаш""";135;7;733;29;34
73313501;"ТОВ ""ВЕЙ-МАКС КИЇВ""";135;7;733;29;62
73313502;"ПрАТ ""Уланів ""Агромаш""";135;7;733;29;62
73313503;ПП Промбізнесагро-М;135;7;733;29;62
73315000;"ПАТ ""Хмільник меблі""";150;7;733;35;35
73315200;"ТОВ ""Уланівське з/у""";152;7;733;36;63
73315300;"ПАТ Швейна фабрика""Лілея""";153;7;733;39;64
73330000;"ПрАТ""АК.Хмільникпрод""Жда";300;7;733;41;42
73330001;"МПВП ""Шар""";300;7;733;41;65
73330002;"ПрАТ""АК.Хмільникпрод""з-д ";300;7;733;41;65
73330003;"ТОВ ""Тріумф""";300;7;733;29;62
73330004;БМУ-3;300;7;733;36;63
73330005;"ТОВ""Гнів. кар'єр""с.Кутнів";300;7;733;36;63
73330008;"ТОВ""Гнів. кар'єр"" з-дЗБВ";300;7;733;36;63
73330009;"ТОВ ""Украгроторг""";300;7;733;41;65
73330010;"ТОВ""Гнів.кар'єр"" Цег.з-д";300;7;733;36;63
73330012;ПП Котощук;300;7;733;41;65
73330013;Сташко П.І.;300;7;733;41;65
73330014;Комбікормовий з-д;300;7;733;43;43
73330015;"ПрАТ ""Агрок. Хм.прод."" Жд";300;7;733;44;44
73330016;"ТзОВ""Хмільницьке""цукр.з-д";300;7;733;44;44
73330017;"ПП ""Сьомаківське""";300;733;7;41;65
73333600;"ПАТ ""Хмільн. елеватор""";336;7;733;43;43
73333601;"КФ ЗАТ""Зернопродукт МХП""";336;7;732;43;43
73333602;"ПрАТ ""Зернопродукт МХП""";336;7;733;41;65
73333603;"ТзОВ""Хмільницьке""(елевато";336;7;733;43;43
73334501;"ТОВ ""Колос-Поділля""";345;7;733;44;44
73335700;"ПАТ ""Укртелеком""";357;7;733;52;52
73338000;"ТОВ ""Подолпромторг""";380;7;733;52;52
73338001;"ТОВ ""Украгроторг""";380;7;733;52;52
73338002;ФОП Кучерук М.В.;380;7;733;52;52
73372100;"ФГ ""Дар""";721;7;733;44;44
73372101;ннн;721;7;733;45;66
73372105;"ТзОВ ""Ко ""Укрпромексім""""";721;7;733;45;66
73373000;Компанія Укрексім;730;7;733;45;66
73389900;"ДП""Клін.Сан.""Хмільник""";899;7;733;52;52
73389901;"ПАТ ""Вінничина -Авто""";899;7;733;45;66
73389902;"МРЦ ""Південний Буг""";899;7;733;52;52
73389903;ПП Котощук В.О.;899;7;733;52;52
73389904;Аграрний центр ПТО;899;7;733;52;52
73389905;"Санаторій ""Поділля""";899;7;733;52;52
73389906;Хмільницька ЦРЛ;899;7;733;52;52
73389907;"Сан.ЦВКС ""Хмільник""";899;7;733;52;52
73389908;В/Ч 1185;899;7;733;52;52
73389909;"ТОВ ""Фоззі-Фуд""";899;7;733;52;52
73389910;ПП Сташко;899;7;733;52;52
73389911;"ПП ""Лісове""";899;7;733;52;52
73389912;"ТВТ ""Південний буг"" він";899;7;721;52;52
73389913;ФОП Чухрій С.В.;899;7;733;50;67
73389914;"Санаторій ""Поділля ТП-61";899;7;733;50;67
73389915;"Санаторій ""Поділля ТП-559";899;7;733;50;67
73389916;"Санаторій ""Поділля ТП-289";899;7;733;50;67
73389917;"Санаторій ""Поділля ТП-59";899;7;733;50;67
73389918;"ПП ""Сьомаківське""";899;7;733;50;67
73389920;Фізіотерапевтична лікарня;899;7;733;50;67
73401100;Власні потреби;11;7;734;10;10
73401200;Корисний відпуск;12;7;734;17;17
73401600;Власні потребиі потреби;16;7;734;16;16
73401700;Втрати в мережах;17;7;734;15;15
