kod_consumer	name_consumer	kod_grp	kod_seti	kod_rem	kod_otr	kod_podotr
73201200	Корисний відпуск	12	7	732	17	17
73201700	Втрати в иережах	17	7	732	15	15
73201800	Виробничі потреби	18	7	732	16	16
73203200	Освітлення	32	7	732	52	52
73233600	"ТОВ ""Луї Дрейфус Україна"""	336	7	732	43	43
73289900	O.L.KAR Фарм-Сервіс	899	7	732	50	67
73301100	Власне споживання	11	7	733	10	10
73301200	Корисний відпуск	12	7	733	17	17
73301800	Госп.потреби	18	7	733	16	16
73303200	Освітлення і побут	32	7	733	52	52
73303300	"ДП ""Хмільникводоканал"""	33	7	733	50	51
73304000	Сільгоспспоживачі	40	7	733	44	44
73304002	"АП НВП ""Візит"" (ст.Радон)"	40	7	732	44	44
73330000	"ПрАТ""АК.Хмільникпрод""Жда"	300	7	733	41	42
73333600	"ПАТ ""Хмільн. елеватор"""	336	7	733	43	43
73333603	"ТзОВ""Хмільницьке""(елевато"	336	7	733	43	43
73389900	"ДП""Клін.Сан.""Хмільник"""	899	7	733	52	52
73389905	"Санаторій ""Поділля"""	899	7	733	52	52
73389907	"Сан.ЦВКС ""Хмільник"""	899	7	733	52	52
73401100	Власні потреби	11	7	734	10	10
73401200	Корисний відпуск	12	7	734	17	17
73401600	Власні потребиі потреби	16	7	734	16	16
73401700	Втрати в мережах	17	7	734	15	15
73403200	Освітлення	32	7	734	52	52
73404000	Сільгоспспоживачі	40	7	734	44	44
73404002	"ТОВ""Аграна Фрут Лука"""	40	7	734	44	44
73410400	"РВУ ""Київавтогаз"""	104	7	734	45	48
73415200	Стрижавський кар'єр	152	7	734	36	63
73415207	"ППФ  ""Сітійрон"""	152	7	734	36	63
73417602	"ТОВ ""Тредіс"""	176	734	7	41	65
73430000	ПП Бенкалюк О.В.	300	7	734	41	65
73430004	"Птахофабрика ""Поділля"""	300	7	734	44	44
73430007	"ПП ""Михалич і Ко"""	300	7	734	41	65
73430008	"ФОП ""Берченко М.М."	300	7	734	45	66
73430011	"ПП ""Зерно"""	300	7	734	41	65
73433600	"ТОВ ""ВКХП №2"""	336	7	734	43	43
73441200	ННН	412	7	734	29	34
73473001	"ТОВ ""Шляхбуд"""	730	7	734	36	63
73489908	ДНЗ Вище проф. уч.№7	899	7	734	52	52
73489919	"ТОВ УПП ""Евромед"""	899	7	734	52	52
73501100	Власне споживання	11	7	735	10	10
73501200	Корисний відпуск	12	7	735	17	17
73501700	Втрати в мережах	17	7	735	15	15
73503200	Освітлення	32	7	735	52	52
73504000	Сільгоспспоживачі	40	7	735	44	44
73515300	"ПП ""Інтертекст"""	153	7	735	39	64
73530000	"ТОВ ""Агропослугтрансервіс"	300	7	735	29	62
73530001	"ТОВ ""Подільські цукроварн"	300	7	735	41	65
73530002	"ТОВ ""Бімол"""	300	7	735	41	65
73533600	"ПрАТ ""Зернопродукт"""	336	7	735	43	43
73589900	Мазурівський аграрний ліц	899	7	735	52	52
152101100	Власні потреби	11	15	1521	10	10
152101200	Корисний відпуск	12	15	1521	17	17
152101600	Власні потреби	16	15	1521	16	16
152101700	Втрати в мережах	17	15	1521	15	15
152103200	Освітлення 	32	15	1521	52	52
152104000	Сільгоспспоживачі	40	15	1521	44	44
152115200	"ТОВ""Будматеріали"""	152	15	1521	36	63
152130013	"Птахокомб.""Бершадський"""	300	15	1521	44	44
152133600	"ТОВ Рівненський елеватор"""	336	15	1521	43	43
152135700	Бершадь КРРТ РТПС	357	15	1521	52	52
152201100	Власне споживання	189	15	1522	10	10
152201200	Карисний відпуск	12	15	1522	17	17
152201600	Власні потреби	16	15	1522	16	16
152201700	Втрати в мережах	17	15	1522	15	15
152203200	Освітлення і обут	32	15	1522	52	52
152204000	Сільгоспспоживачі	40	15	1522	44	44
152204002	"ТОВ ПК ""Зоря Поділля"""	40	15	1522	41	42
152210400	"ПАТ ""Укртрансгаз"" КС-18"	104	15	1522	45	48
152230000	Гайсинський спиртзавод	300	15	1522	41	65
152230003	Гайсинський молокозавод	300	15	1522	41	65
152230006	ДП ТЕГРА Україна ЛТД	300	15	1522	41	65
152230007	"МП ""Алла"""	300	15	1522	41	65
152233603	"ТОВ""Нюсайнс ріел інс.ЛТД"""	336	15	1522	41	65
152289905	ФОП Капула С.І.	899	15	1522	52	52
152301100	Власне споживання брутто	11	15	1523	10	10
152301200	Корисний відпуск	12	15	1523	17	17
152301700	Втрати в мережах	17	15	1523	15	15
152303200	Освітлення	32	15	1523	52	52
152304000	Сільгоспспоживачі	40	15	1523	44	44
152310400	КС - 36	104	15	1523	45	48
152330004	Дашів РМЗ	300	15	1523	29	62
152330006	"ТОВ ""Люсдорф"""	300	15	1523	41	65
152333600	"ТОВ ""Укр. елев. компанія"""	336	15	1523	43	43
152401100	Власне споживання	11	15	1524	10	10
152401200	Корисний відпуск	12	15	1524	17	17
152401700	Втрати в мережах	17	15	1524	15	15
152401800	Виробничі потреби	18	15	1524	16	16
152403200	Освітлення	32	15	1524	52	52
152403300	ДП Крижопільводоканал	33	15	1524	50	51
152404000	Сільгоспспоживачі	40	15	1524	44	44
152430000	"ТОВ ""ТЕРРА ФУД"""	300	15	1524	41	65
152430007	"ПрАТ ПК ""Поділля"""	300	15	1524	41	42
152430010	"ТОВ ""Авіс"""	300	15	1524	41	65
152433600	"ТОВ ""Крижоп. елеватор"""	336	15	1524	41	65
152501100	Власне споживання	11	15	1525	10	10
152501200	Корисний відпуск	12	15	1525	17	17
152501700	Втрати в мережах	17	15	1525	15	15
152501800	Виробничі потреби	18	15	1525	16	16
152503200	Освітлення	32	15	1525	52	52
152504000	Сільгоспспоживачі	40	15	1525	44	44
152515205	"ДП ""Він.спецкар""єр"""	152	15	1525	36	63
152530006	"ТзОВ ""Яблуневий дар"""	300	15	1525	41	65
152533603	"ТОВ ""Млинпром"""	336	15	1525	41	65
152589906	"ТОВ ""Він-пелета"""	899	15	1525	43	43
152601100	Власне споживання	11	15	1526	10	10
152601200	Корисний відпуск	12	15	1526	17	17
152601700	Втрати в мережах	17	15	1526	15	15
152603200	Освітлення	32	15	1526	52	52
152604000	Сільгоспспоживачі	40	15	1526	44	44
152630021	"ДП ""УВК NEMIROFF"" №630"	300	15	1526	41	65
152630022	"ТОВ ""Амбар+"""	300	15	1526	41	65
152689903	"Санаторій ""Авангард"""	899	15	1526	52	52
152701100	Власне споживання	11	15	1527	10	10
152701200	Корисний відпуск	12	15	1527	17	17
152701700	Втрати в вмережах	17	15	1527	15	15
152701800	Виробничі потреби	18	15	1527	16	16
152703200	Освітлення	32	15	1527	52	52
152704000	Сільгоспспоживачі	40	15	1527	44	44
152801100	Власне споживання,	11	15	1528	10	10
152801200	Корисний відпуск	12	15	1528	17	17
152801600	Виробничі потреби	18	15	1528	16	16
152801700	Втрати в мережах	17	15	1528	15	15
152803200	Освітлення і побут	32	15	1528	52	52
152804000	Сільгоспспоживачі	40	15	1528	44	44
152804001	"СФГ ""Зірка"" с.Малинки"	40	15	1528	44	44
152804002	"СТОВ ""Зоря"" с. Андрушівка"	40	15	1528	44	44
152804003	"СТОВ ""Росія"" с.Станилівка"	40	15	1528	44	44
152804004	"СФГ ""Бухнівське"""	40	15	1528	44	44
152804005	"СФГ ""Дружба-Л"" с.Гончиця"	40	15	1528	44	44
152804006	"СФГ ""Лан-П""с.Дзюньків"	40	15	1528	44	44
152804007	"ФГ ""Колотуцького"""	40	15	1528	44	44
152804008	"ТОВ ""Союз-Агро-Пром"""	40	15	1528	44	44
152804009	"СТОВ ""Дніпро"" с.Мончин"	40	15	1528	44	44
152804010	"ТОВ ""Погребищенське"""	40	15	1528	44	44
152804011	"ТОВ Фірма ""Руна"""	40	15	1528	44	44
152804012	"ПП ""Ольвія""с. Мончин"	40	15	1528	44	44
152830001	"ТОВ ПК ""Зоря Поділля"""	300	15	1528	41	65
152830003	"ТОВ ПК ""Зоря Поділля"""	300	15	1528	41	42
152833600	"ТОВ ""Зерногрупа ЛТД"""	336	15	1528	43	43
152833601	"ТОВ ""Ржевуська Млин"""	336	15	1528	41	65
152873000	Райавтодор	730	15	1528	49	49
152901100	Власне споживання	11	15	1529	10	10
152901200	Корисний відпуск	12	15	1529	17	17
152901600	Виробничі потреби	16	15	1529	16	16
152901700	Втрати в мережах	17	15	1529	15	15
152903200	Освітлення і побут	32	15	1529	52	52
152904000	Сільгоспспоживачі	40	15	1529	44	44
153101100	Власне споживання	11	15	1531	10	10
153101200	Корисний відпуск	12	15	1531	17	17
153101700	Втрати в мережах	17	15	1531	15	15
153103200	Освітлення і побут	32	15	1531	52	52
153104000	Сільгоспспоживачі	40	15	1531	44	44
153115002	ФОП Руда Л.Г.	150	15	1531	35	35
153130002	"ТОВ""Подільські цукроварні"	300	15	1531	41	42
153130003	Тульчин м'ясокомбінат	300	15	1531	41	65
153189901	"ТУ ДП ""Укрветсанзавод"""	899	15	1531	43	43
153201100	Власне споживання	11	15	1532	10	10
153201200	Корисний відпуск	12	15	1532	17	17
153201600	Виробничі потреби	16	15	1532	16	16
153201700	Втрати в мережах	17	15	1532	15	15
153203200	Освітлення і побут	32	15	1532	52	52
153203300	Вапнярка водоканал	33	15	1532	50	51
153204000	Сільгоспспоживачі	40	15	1532	44	44
153230000	"ВП ""Томашпільцукор"""	300	15	1532	41	42
153230001	"ТОВ ""ТЕРРА-ФУД"""	300	15	1532	41	65
153235700	"ПрАТ ПК""Поділля"" ""Колос"""	357	15	1532	44	44
153235701	"ПрАТ ПК""Поділля""с.Ялтан."	357	15	1532	44	44
153238000	Торговий дім Фінпром	380	15	1532	52	52
153289900	"ПСП ""Перемога"""	899	15	1532	44	44
153289903	"СФГ ""Вікторія"""	899	15	1532	44	44
153289904	"ПП ""Фатіма -Агро"""	899	15	1532	44	44
153301100	Власне споживання	11	15	1533	10	10
153301200	Корисний відпуск	12	15	1533	17	17
153301700	Втрати в мережах	17	15	1533	15	15
153303200	Освітлення	32	15	1533	52	52
153304000	Сільгоспспоживачі	40	15	1533	44	44
153310101	Ладижин ЗБК	101	15	1533	36	63
153315201	"КП ""Буддеталь"""	152	15	1533	36	63
153318900	"ДП ""ЕНЗІМ"""	189	15	1533	43	43
153330000	Тростянецький спиртзавод	300	15	1533	41	65
153330002	Тростянецький мясокомбіна	300	15	1533	41	65
153330008	"ТОВ ""Він. птахофабрика"""	300	15	1533	44	44
153335000	Щебневий завод	350	15	1533	36	63
153389900	Ладижинська ТЕС	899	15	1533	43	43
153401100	Власне споживання	11	15	1534	10	10
153401200	Корисний відпуск	12	15	1534	17	17
153401700	Втрати в мережах	17	15	1534	15	15
153403200	Освітлення і побут	32	15	1534	52	52
153404000	Сільгоспспоживачі	40	15	1534	44	44
153501100	Власні потреби	11	15	1535	10	10
153501200	Корисний відпуск	12	15	1535	17	17
